opp_week,opp_TEAM,opp_OPP,opp_opp_points,opp_first_downs,opp_total_yds,opp_passing_yds,opp_rushing_yds,opp_penalty_cnt,opp_penalty_yds,opp_turnovers,opp_punt_cnt,opp_punt_yds,opp_punt_avg,opp_pos_time
11,NE,OAK,8,21,344,235,109,8,66,2,3,137,32,1943
12,NE,MIA,17,15,221,154,67,6,52,3,5,208,41,1639
13,NE,BUF,3,16,268,85,183,3,34,1,4,195,41,1559
14,NE,MIA,27,21,362,242,120,8,102,0,7,315,40,2169
15,NE,PIT,24,21,413,270,143,6,63,1,4,171,40,2107
16,NE,BUF,16,17,326,242,84,4,83,0,3,144,42,1696
17,NE,NYJ,6,14,247,207,40,9,84,0,7,324,40,1511
1,NO,MIN,29,23,470,341,129,5,50,0,2,87,44,1876
2,NO,NE,36,29,555,436,119,9,66,0,3,111,32,2106
3,NO,CAR,13,18,288,156,132,1,5,3,3,129,32,1728
4,NO,MIA,0,11,186,128,58,11,90,1,6,263,40,1532
6,NO,DET,38,18,347,281,66,7,46,5,5,243,47,1669
7,NO,GB,17,16,260,79,181,8,54,1,5,238,46,1384
8,NO,CHI,12,17,307,150,157,4,31,1,5,270,46,1717
9,NO,TB,10,14,200,113,87,7,50,1,7,239,31,1662
10,NO,BUF,10,10,198,129,69,8,56,1,6,272,42,1117
11,NO,WAS,31,24,456,300,156,9,67,0,5,248,38,1931
12,NO,LA,26,24,415,327,88,9,90,1,3,138,46,2126
13,NO,CAR,21,16,279,167,112,6,54,1,5,215,42,1599
14,NO,ATL,20,26,343,211,132,4,35,3,2,83,42,2081
15,NO,NYJ,19,19,294,170,124,8,50,2,7,316,40,1850
16,NO,ATL,13,15,331,264,67,10,91,2,5,234,38,1572
17,NO,TB,31,28,455,345,110,2,15,3,2,100,54,1893
1,NYG,DAL,19,22,392,263,129,5,50,0,4,139,35,2054
2,NYG,DET,24,12,257,119,138,6,50,1,5,209,40,1967
3,NYG,PHI,27,24,354,161,193,9,103,1,4,182,41,2252
4,NYG,TB,25,20,434,323,111,4,19,0,4,199,50,1547
5,NYG,LAC,27,21,382,258,124,11,87,1,6,333,46,1905
6,NYG,DEN,10,20,412,366,46,5,46,3,3,153,44,1764
7,NYG,SEA,24,26,425,321,104,15,110,1,5,190,38,2126
9,NYG,LA,51,20,473,311,162,6,55,0,2,75,38,1830
10,NYG,SF,31,21,474,288,186,6,44,2,1,45,45,1740
11,NYG,KC,9,22,363,229,134,9,87,3,5,215,41,2236
12,NYG,WAS,20,17,323,201,122,8,55,1,7,308,40,2077
13,NYG,OAK,24,18,401,282,119,6,42,1,4,200,43,1879
14,NYG,DAL,30,19,454,332,122,8,51,0,4,190,43,1627
15,NYG,PHI,34,22,341,233,108,7,44,0,4,187,40,1853
16,NYG,ARI,23,19,289,215,74,6,45,2,7,329,41,1993
17,NYG,WAS,10,10,197,136,61,4,35,3,9,426,44,1687
1,NYJ,BUF,21,23,408,218,190,6,50,1,6,257,35,1984
2,NYJ,OAK,45,21,410,230,180,9,79,0,3,166,52,1862
3,NYJ,MIA,6,16,225,195,30,8,51,2,7,333,40,1432
4,NYJ,JAX,20,20,311,136,175,6,47,1,8,361,44,2108
5,NYJ,CLE,14,22,419,279,140,6,60,3,2,113,49,2066
6,NYJ,NE,24,23,375,257,118,6,45,2,4,160,41,1580
7,NYJ,MIA,31,25,357,304,53,9,76,2,6,267,41,1918
8,NYJ,ATL,25,18,386,246,140,6,68,2,5,214,42,1699
9,NYJ,BUF,21,20,307,244,63,11,99,3,6,278,44,1590
10,NYJ,TB,15,17,271,181,90,6,50,1,6,260,37,1914
12,NYJ,CAR,35,17,299,154,145,10,84,0,6,284,46,1910
13,NYJ,KC,31,17,474,362,112,8,30,0,2,98,49,1031
14,NYJ,DEN,23,17,273,189,84,3,21,0,5,247,42,2255
15,NYJ,NO,31,23,416,285,131,8,92,3,4,187,47,1750
16,NYJ,LAC,14,21,379,290,89,8,80,0,9,416,43,1978
